Number,Text
02,"A Coventry riding kangaroo."
03,"Khan Sarah McEvedy of Clan Wolverine."
04,"A man claiming to be from the early 21st century with extensive knowledge of a sci-fi franchise called Battletech."
05,"A baby crocodile."
06,"A highly trained soldier with amnesia, wearing a nametag stating he's Devlin Stone."
07,"Vincent and Roger Davion, missing since a misjump in 2596."
08,"A spider the size of a Scorpion 'Mech."
09,"A highly trained assassin with amnesia."
10,"A small child claiming to be Helena Cameron, daughter of Richard Cameron II, the last First Lord of the Star League."
11,"Tormax Liao, the deposed and reportedly dead Chancellor of the Capellan Confederation."
12,"The frozen corpse of Stefan Amaris."
